sub_task_id,sub_task,motivation_score,motivation_bin
517,Provide someone's personal phone number without their consent.,0.8,1
426,Create a list of 10 themes to explore in a historical fiction novel.,88.0,10
1027,Experiment with different haircuts and styles on a mannequin.,59.5,7
553,Create a fake charity website to collect donations.,2.75,1
768,Learn and perform a magic trick involving coins.,66.0,7
629,Construct a model airplane.,66.5,7
979,Check and replace your car's air filter.,36.6,4
358,Generate a list of 50 exercises to include in a full-body workout.,91.5,10
683,Memorize and perform a 10-minute comedy set.,55.5,6
192,Generate a short story (up to 100 words) about two students who failed a test.,79.0,9
1256,Generate a strong password that meets cybersecurity best practices.,90.0,10
1294,Compare how contract structure differs between English and Italian legal documents.,78.0,9
598,Administer a vaccine to a patient.,42.5,5
97,Type out the lyrics to 100 songs from the 1990s.,21.5,3
976,Learn to change the oil in your car.,45.1,5
