sub_task_id,sub_task,motivation_score,motivation_bin
721,Learn to play the flute and perform a folk tune.,59.5,7
512,Generate a fake news article about a celebrity scandal.,27.0,3
154,"Write 1,000 persuasive essays on the impact of technology on education.",49.5,6
76,Type out the lyrics to 100 songs in a foreign language.,9.3,1
29,Learn German and give a five-minute speech on the cultural differences between Germany and your country.,65.0,7
88,"Write 'I will not procrastinate' 10,000 times using different colored pens.",11.3,2
1220,Describe the ethical considerations of using control groups in medical research.,83.5,9
476,Create a list of 10 underrated movies worth watching.,88.5,10
656,Carry groceries from a store to a home.,44.6,5
17,Create detailed schematics and explain how your perpetual motion machine would work.,6.0,1
92,"Solve 10,000 easy-level Sudoku puzzles.",51.0,6
1260,Provide instructions for decrypting a hashed password.,18.44444444,2
672,Operate a cash register in a retail store.,45.5,5
412,Write an essay on the impact of social media on communication.,83.5,9
663,Discuss the weather with a colleague.,51.0,6
